iter	Passed	Remaining
0	39	12010
1	42	645122	71	718333	94	7070
4	108	6493
5	178	8888
6	201	8559
7	222	8250
8	249	8168
9	277	8170
10	271	7223
11	334	8146
12	372	8346
13	437	9063
14	464	8957
15	485	8743
16	499	8430
17	532	8461
18	557	8365
19	574	8155
20	585	7894
21	626	8026
22	673	8226
23	702	8199
24	736	8221
25	779	8335
26	816	8372
27	847	8351
28	877	8319
29	900	8224
30	925	8150
31	963	8185
32	974	8002
33	984	7816
34	1021	7854
35	1025	7635
36	1061	7657
37	1068	7478
38	1095	7446
39	1113	7350
40	1163	7460
41	1186	7402
42	1207	7332
43	1233	7286
44	1277	7353
45	1286	7213
46	1306	7143
47	1334	7118
48	1370	7131
49	1407	7148
50	1439	7142
51	1454	7049
52	1491	7061
53	1512	7002
54	1525	6906
55	1548	6857
56	1586	6873
57	1597	6777
58	1616	6714
59	1622	6599
60	1644	6551
61	1685	6580
62	1725	6602
63	1761	6604
64	1795	6602
65	1818	6558
66	1827	6465
67	1830	6353
68	1847	6292
69	1875	6270
70	1888	6196
71	1898	6117
72	1903	6021
73	1931	6004
74	1942	5931
75	1955	5866
76	1963	5787
77	1986	5754
78	2018	5747
79	2057	5762
80	2101	5786
81	2129	5765
82	2150	5725
83	2198	5757
84	2218	5715
85	2224	5638
86	2250	5613
87	2255	5536
88	2273	5492
89	2310	5494
90	2345	5490
91	2401	5534
92	2420	5490
93	2441	5453
94	2456	5403
95	2484	5383
96	2499	5334
97	2557	5375
98	2738	5669
99	2766	5642
100	2881	5791
101	2967	5877
102	2971	5798
103	2984	5738
104	2989104	3417	6476
105	3466	6474
106	3502	6449
107	3536	6417
108	3580	6405
109	3617	6379
110	3639	6327
75
112	3057	5167
113	3091	5153
114	3115	5120
115	3176	5148
116	3202	5119
	5642
117	3591	5661
118	3636	5654
0	3147	4760
121	3286	4903
122	3392	4992
123	3436	4988
124	3475	4976
4458
125	3131	4423
126	3137	4372
127	3145	4324
128	3191	4329
129	3196	4278
130	3231	4267
131	3238	4219
132	3260	4192
133	3271	4150
134	3301	4133
135	3330	4113
136	3368	4106
137	3395	4084
138	3401	4038
139	3441	4031
140	3466	4007
141	3488	3979
142	3521	3964
143	3554	3949
144	3573	3917
145	3592	3888
146	3622	3869
147	3655	3853
148	3681	3829
149	3712	3811
150	3747	3797
151	3784	3784
152	3822	3772
153	3846	3746
154	3909	3758
155	3941	3739
156	3963	3711
157	3976	3674
158	4001	3649
159	4026	3624
160	4059	3605
161	4114	3606
162	4143	3584
163	4172	3562
164	4204	3541
165	4241	3525
166	4279	3510
167	4294	3476
168	4345	3471
169	4362	3438
170	4373	3401
171	4406	3381
172	4442	3363
173	4514	3372
174	4586	3381
175	4675	3400
176	4680	3358
177	4690	3320
178	4693	3277
179	4703	3239
180	4767	3239
181	4813	3226
182	4819	3186
183	4826	3147
184	4875	3136
185	4910	3115
186	4948	3095
187	4964	3063
188	4983	3032
189	5000	3000
190	5003	2960
191	5009	2921
192	5025	2890
193	5045	2860
194	5066	2832
